,,"2026-01-26
Stag was definitely not cheating"
PELOR,EAGLE,Small Animal
Hit Dice,1d8+1,
Hit Points,7,
Initiative,2,
Speed,"10 ft (2 squares), fly 80 ft (average)",
AC,14,
AC-Touch,13,
AC-Flat-Footed,12,
Base Attack,0,
Grapple,-4,
Attack,Talons +3 (1d4),
Full Attack,2 talons +3 (1d4) and bite -2 (1d4),
Space,5,
Reach,5,
Special Attacks,--,
Special Qualities,Low-light vision,
Saves,,
Fort,3,
Ref,4,
Will,2,
"Abilities: Str 10, Dex 15, Con 12, Int 2, Wis 14, Cha 6",,
"Skills: Listen +4, Spot +16",,
"Feats: Alertness, Weapon Finesse",,
Bonuses as a level 3 Druid,,
Link,,
Share Spells,,
"One Bonus Trick: Attack, Fetch",,
