,,[ANDY] - Black Stag,,,,,,"2026-01-26
Stag was definitely not cheating",
,,,,,,Equipped,,46.35,245.45
,,Inventory,,,,Pack,,199.1,
,,,,Half,0,Horse,,4,
,,,,Coin,230,,,,
,,,,Value,125103.77,,249.45,199.1,4
Type,Loc,Item,Cost,Qty,Total Cost,Weight,Total Weight,Pack,Horse
*coin,p,Platinum Coins,10,,0,0.02,0,0,
*coin,p,Gold Coins,1,230,230,0.02,4.6,4.6,
*coin,p,Silver Coins,0.1,0,0,0.02,0,0,
*coin,p,Copper Coins,0.01,0,0,0.02,0,0,
,p,Backpack,2,1,2,2,2,2,
,,Heward's Handy Haversack,2000,1,2000,5,5,,
,,Everfull Mug,200,1,200,5,5,,
,,Everlasting Rations,350,1,350,5,5,,
,p,Bedroll,0.1,1,0.1,5,5,5,
,p,"Clothes, Spare Set, Explorers",10,1,10,8,8,8,
,p,Towel,0.4,1,0.4,2,2,2,
,p,Soap Bar,0.5,1,0.5,1,1,1,
,p,Candles,0.01,4,0.04,0.25,1,1,
,p,Flint and Steel,1,1,1,0,0,0,
,p,"Silk Rope, 50 ft.",10,1,10,5,5,5,
,p,Sack (empty),0.1,1,0.1,0.5,0.5,0.5,
,p,"Flask, Pint (empty)",0.03,1,0.03,1.5,1.5,1.5,
,p,Torch,0.01,4,0.04,1,4,4,
,p,"Chalk, Piece",0.01,1,0.01,0,0,0,
,q,Heavy Warhorse named Obad Hai,400,1,400,0,0,,0
,q,"Military Saddle, plus bit, bridle, and saddle bags",20,1,20,4,4,,4
,,Sickle +1 ,2306,2,4612,1,2,,
,,"Weapon Crystal Energy Assault, Greater (Acid)",3000,1,3000,0.1,0.1,,
,,"Weapon Crystal Energy Assault, Greater(Shocking)",3000,1,3000,0.1,0.1,,
,,"Weapon Crystal Energy Assault, Greater(Fire)",3000,1,3000,0.1,0.1,,
,,Dagger,2,1,2,1,1,,
,,Leather Mask,5,1,5,1,1,,
,p,Books in Undercommon,0,3,0,1,3,3,
,,"Dagger, Silver MW",322,1,322,2,2,,
,,Bow of the Wintermoon +1 Full Str Bonus,3400,1,3400,2,2,,
,,Arrows,0.05,31,1.55,0.15,4.65,,
,,Horned Helm +1 1d8 natural attack 1/2 str; +1 AC,10000,1,10000,0,,,
,,"+4 Deathward, Improved Stamina, Improved Agility, Mindarmor, Mithralmist Chain Shirt
(+8 AC)
7/day mist 5' sq 1 min
+3 Fort (resistance)
+3 Reflex (resistance)
3/day +5 will vs mind-affecting
1/day ignore death or neg. energy effect",38400,1,38400,12.5,12.5,,
,,Ring of Protection +1 (deflection AC bonus),2000,1,2000,0,0,,
,,Gloves of Dexterity +2,4000,1,4000,0,0,,
,,Dimension Stride Boots 5ch 1/20 3/40 5/60,2000,1,2000,0,0,,
,,Pearl of Speech Giant Abyssal Celestial,600,3,1800,0,0,,
,,"Vanisher Cloak 3chrgs/day 1-4rds,2-3rds,3-2rds",2500,1,2500,0,0,,
,,Vest of Resistance +2 Saves (resistance),4000,1,4000,0,0,,
,,Filcher's Friend +5 Sleight H/metal,2500,1,2500,0,0,,
,p,"Flute, reed MW",100,1,100,1,1,1,
,,"Flask, Holy Water",25,1,25,1,1,,
,,"Flask, acid",10,1,10,1,1,,
,p,"Mirror, small steel",10,1,10,0.5,0.5,0.5,
,,Everburning Torch(Candle/Skull,110,1,110,1,1,,
,,"Holy Symbol, wooden (Obad-Hai)",1,1,1,0,0,,
,p,"Bell, small",1,1,1,0,0,0,
,,Magnet,,,,,,,
,,"Arrows, +1",46.05,0,0,0.15,0,,
,,Alchemist Arrow (+1d4 next rnd),,6,0,0.15,0.9,,
,,Fountainhead Arrow(10' radius 2d8/3rds DC 14),,0,0,0.15,0,,
,p,"Vial,  Anti-toxin",50,1,50,0,0,0,
,,Blessed Bandages,10,3,30,0,0,,
,,Ghost Oil 2 rds Ghost Touch,50,1,50,0,0,,
,,"Wand, Cure Light (45)",750,1,750,0,0,,
,,Third Eye(Improvisation) 1/day +5 & Trnd in sk,1000,1,1000,0,0,,
,,"Third Eye Clarity neg stunned, conf, dazed, fas",3000,1,3000,0,0,,
,,Amulet of Natural Armor +2,8000,1,8000,0,0,,
,,Sphere of Awakening 60'burst,1800,1,1800,0,0,,
,,"Belt of Giant's strength, +4",16000,1,16000,1,1,,
,,Tan Bag of Tricks,6300,1,6300,0,0,,
,,1-30: Brown Bear (p. 269),,0,0,0,0,,
,,31-60: Lion (p. 274),,0,0,0,0,,
,,61-80: Heavy Warhorse (p. 273),,0,0,0,0,,
,,81-90: Tiger (p. 281),,0,0,0,0,,
,,91-100: Rhinoceros (p. 278),,0,0,0,0,,
,,"Holy Symbol, golden (Pelor)",100,1,100,1,1,,
,p,Giant's sack,0,1,0,0,0,0,
,p,Giant's head,0,1,0,80,80,80,
,p,Giant's heart,0,1,0,80,80,80,
,p,Map of path through Underdark,0,1,0,0,0,0,
