Bitsy Bullock,Half-Celestial Bison,"2026-01-26
Stag was definitely not cheating",
,,,
Size/Type:,Large Outsider,,
Hit Dice:,5d8+25,5,
,HP,47,
Initiative:,0,,
Speed:,40 ft. (8 squares); 80ft. fly (good maneuverability),,
Armor Class:,"(-1 size, +5 natural)",15,
,Touch,9,
,Flat-Footed,14,
Base Attack/Grapple:,Base Attack,3,
,Grapple,15,
,Melee,10,
Attack:,Gore +10 melee (1d8+12),12,
Full Attack:,Gore +10 melee (1d8+12),,
Space/Reach:,10 ft./5 ft.,,
Special Attacks:,"(Stampede), Daylight (Su) at/will, Spell-Like Abilities",,
,Smite Evil (Su) 1/day +5 damage,,
Special Qualities:,"Low-light vision, darkvision 60 ft., scent, immunity to disease, +4 Fort vs. poison",,
,"Resistance acid 10, cold 10, electricity 10",,
,DR 5/magic,,
,SR 15,,
Saves:,Fort (+13 vs. poison),9,
,Ref,5,
,Will,3,
Abilities:,,Score,Bonus
,Str,26,8
,Dex,12,1
,Con,20,5
,Int,4,-3
,Wis,15,2
,Cha,8,-1
Skills:,Listen,9,5
,Spot,7,3
Feats:,"Alertness, Endurance",,
Spell-Like Abilities,"CL 5, DC is CHA-based (-3)",,
,Protection from Evil (3/day),,
,Bless (1/day),,
,Aid (1/day),,
,Detect Evil (1/day),,
,Cure Serious Wounds (1/day),,
,Neutralize Poison (1/day),,
