,,[CHUCK] – Phileum Collins,,,,,,"2026-01-26
Stag was definitely not cheating",
,,,,,,Equipped,,30.8,50.3
,,Inventory,,,,Pack,,19.5,
,,,,Half,0,Horse,,21,
,,,,Coin,5475,,,,
,,,,Value,78000,/ 70000,71.3,19.5,21
Type,Loc,Item,Cost,Qty,Total Cost,Weight,Total Weight,Pack,Horse
*coin,p,Platinum Coins,10,500,5000,0.02,10,10,
*coin,p,Gold Coins,1,475,475,0.02,9.5,9.5,
*coin,p,Silver Coins,0.1,0,0,0.02,0,0,
*coin,p,Copper Coins,0.01,0,0,0.02,0,0,
,,Armband of Maximized Healing,7200,1,7200,1,1,,
,q,"Half-Celestial Bison, war-trained -- Sacred Cow",8500,1,8500,0,0,,0
,q,"Saddle, exotic military (+2 ride to stay in saddle)",60,1,60,20,20,,20
,q,Battle Bridle (+5 to ride checks; mounted combat feat),9000,1,9000,1,1,,1
,,Mirror of time-hop (2/day gaze to 30ft to push creature 5 rounds forward in time; DC 14 Will negates),9000,1,9000,0.5,0.5,,
,,Orb of environmental adaptation w/i 30 feet,2000,1,2000,0.1,0.1,,
,,Diamond dust for Glyph of Warding (200gp per casting),200,8,1600,0.1,0.8,,
,,Powdered silver for Wall of Good (25gp per casting),25,39,975,0.1,3.9,,
,,Spell Components,100,1,100,1,1,,
,,Other expensive material spell components,100,200,20000,0.1,20,,
,,Clothes,10,1,10,1,1,,
,,Holy Symbol,0,1,0,1,1,,
,,Book of Sermons,0,1,0,1,1,,
,,USED: Diamond dust for Glyph of Warding (200gp per casting),200,2,400,0.1,0.2,,
,,USED: Powdered silver for Wall of Good (25gp per casting),25,1,25,0.1,0.1,,
,,Walking cane (light mace),5,1,5,0.1,0.1,,
,,"+1 Blurring Full Plate (+9 AC, -5 ACP) 5 rounds 3/day",5650,1,5650,0.1,0.1,,
,,+2 Ring of Protection,8000,1,8000,0,0,,
,,,,,,,,,
,,Prepared Spells,,,,,,,
,0,Detect Magic,[__],[__],,,,,
,0,Guidance,[__],[__],,,,,
,0,Read Magic,[__],[__],,,,,
,1,Vision of Heaven,[__],[__],,,,,
,1,Entropic Shield,[__],,,,,,
,1,Bless,[__],,,,,,
,1,Command,[__],,,,,,
,1,Blessed Aim,[__],[X],,,,,
,2,Aid,[__],,,,,,
,2,Avoid Planar Effects,[__],,,,,,
,2,Lastai's Caress,[__],[__],,,,,
,2,Elation,[__],,,,,,
,2,Owl's Wisdom,[__],,,,,,
,3,Prayer,[X],,,,,,
,3,Mass Resist Energy,[__],,,,,,
,3,Dispel Magic,[__],[X],,,,,
,3,Inspired Aim,[__],[__],,,,,
,4,Wall of Good,[__],[__],[__],[X],,,
,4,Dismissal,[__],,,,,,
,4,Divination,[__],,,,,,
,5,Warding Gems,[__],,,,,,
,5,Plane Shift,[__],,,,,,
,5,Righteous Wrath,[__],,,,,,
,5,"Command, Greater",[__],,,,,,
,6,Blade Barrier,[__],,,,,,
,6,Find the Path,[X],,,,,,
