,,[DON] – Cade,,,,,,"2026-01-26
Stag was definitely not cheating",
,,,,,,Equipped,,9.42,26.42
,,Inventory,,,,Pack,,17,
,,,,,,BagOfHolding,,86.24,
,,,,Coin,3471.8,,,,
,,,,Value,91500,,112.66,17,86.24
Type,Loc,Item,Cost,Qty,Total Cost,Weight,Total Weight,Pack,BagOfHolding
*coin,b,Platinum Coins,10,0,0,0.02,0,,0
*coin,b,Gold Coins,1,3471,3471,0.02,69.42,,69.42
*coin,b,Silver Coins,0.1,8,0.8,0.02,0.16,,0.16
*coin,b,Copper Coins,0.01,0,0,0.02,0,,0
,,"Clothes, Artisan Outfit",1,1,1,1,1,,
,,Spells copied into spellbook,19050,1,19050,0,0,,
,p,Bag of Holding I (250 lbs),2500,1,2500,15,15,15,
,,Cloak of Resistance +2,4000,1,4000,1,1,,
,,"Metamagic Rod of Empower, lesser (level 1-3)",9000,1,9000,5,5,,
,,Ring of Protection +2,8000,1,8000,0.01,0.01,,
,,Ring of Mind Shielding,8000,1,8000,0.01,0.01,,
,b,"Potion, Cure Moderate Wounds",300,3,900,0.1,0.3,,0.3
,b,"Potion, Endure Elements",50,10,500,0.1,1,,1
,b,"Potion, Remove Fear",50,2,100,0.1,0.2,,0.2
,b,"Potion, Lesser Restoration",300,1,300,0.1,0.1,,0.1
,b,"Potion, Remove Paralysis",300,2,600,0.1,0.2,,0.2
,b,"Potion, Glibness [1 used]",300,2,600,0.1,0.2,,0.2
,,"Wand, Magic Missile (9th level) [48/50]",6750,1,6750,0.1,0.1,,
,,"Wand, Bull's Strength (3rd level) [50/50]",4500,1,4500,0.1,0.1,,
,,Spell Component Pouch,5,1,5,2,2,,
,b,"Spell Component Pouch, backup",5,1,5,2,2,,2
,b,Spellbook A,15,1,15,3,3,,3
,b,Spellbook B,15,1,15,3,3,,3
,b,Spellbook C,15,1,15,3,3,,3
,b,"???? ""Spell Component Kit"" ????",50,1,50,3,3,,3
,b,"Ink, vial",8,2,16,0.1,0.2,,0.2
,b,Parchment,0.2,20,4,0.01,0.2,,0.2
,p,Backpack,2,1,2,2,2,2,
,b,Inkpen,0.1,2,0.2,0.1,0.2,,0.2
,,Sling,0,1,0,0.1,0.1,,
,b,Pearl (for identification),100,6,600,0.01,0.06,,0.06
,,"Wand, Lightning Bolt (10th level) [50/50]",22500,1,22500,0.1,0.1,,
,,,0,0,0,0.1,0,,
,,,0,0,0,0.1,0,,
,,,0,0,0,0.1,0,,
