,,BEN - HAMBONE,,,,,,"2026-01-26
Stag was definitely not cheating",
,,,,,,Equipped,,11.21,13.29
,,Inventory,,,,Pack,,2.08,
,,,,Half,0,Horse,,0,
,,,,Coin,734,,,,
,,,,Value,23169.05,,13.29,2.08,0
Type,Loc,Item,Cost,Qty,Total Cost,Weight,Total Weight,Pack,Horse
*coin,p,Platinum Coins,10,73,730,0.02,1.46,1.46,
*coin,p,Gold Coins,1,2,2,0.02,0.04,0.04,
*coin,p,Silver Coins,0.1,19,1.9,0.02,0.38,0.38,
*coin,p,Copper Coins,0.01,10,0.1,0.02,0.2,0.2,
,,Wooden Bowl,0.02,1,0.02,1,1,,
,,Smokestick,20,1,20,0.5,0.5,,
,,Flask,0.03,1,0.03,1.5,1.5,,
,,Quarterstaff,0,1,0,4,4,,
,,Monk’s Robes,5,1,5,2,2,,
,,Sling +1 Holy,18300,1,18300,0.01,0.01,,
,,,0,0,0,1,0,,
,,Bracers of Armor +1,2000,1,2000,1,1,,
,,Amulet of Nat Armor +1,2000,1,2000,0.1,0.1,,
,,Everburning Candle,110,1,110,1,1,,
,,,0.01,0,0,0.01,0,,
,,Turkey bone,0,1,0,0.1,0.1,,
,,Cloak of Charisma +2,2000,1,2000,0,0,,
,,Sling Ammo,,,,,,,
,,--Adamantine,60.01,5,300.05,0.5,2.5,,
,,--Silvered,2.01,18,36.18,0.5,9,,
,,--Cold Iron,0.02,58,1.16,0.5,29,,
,,,,,,,,,
,,Potion Barkskin,600,1,600,0.1,0.1,,
,,Potion Fly,750,5,3750,0.1,0.5,,
,,Potion Blur,300,3,900,0.1,0.3,,
,,,750,0,0,0.1,0,,
,,Potion Cure Light Wounds 1d8+1,50,2,100,0.1,0.2,,
,,,250,0,0,0.1,0,,
,,Potion Reduce Person,250,1,250,0.1,0.1,,
,,Ressurection Gem,5000,1,5000,0.1,0.1,,
,,Giant's Gold Belt,,,,,,,
,,"Belt of Giant's strength, +4",16000,1,16000,1,1,,
