Caster Level,13,Mod,6,,,,,
Close,55ft,Medium,230ft,Long,920ft,,,"2026-01-26
Stag was definitely not cheating"
Level,0,1,2,3,4,5,6,
Per Day,6,8,8,7,7,7,5,
Save DC,16,17,18,19,20,21,22,
,,,,,,,,
,,,,,,,,
Spell Name,Level,Duration,School,Save,DC,Description,,
Arcane Mark,0,Perm or 1mo,Univ,None,,"V, S (Touch) Places visible or invisible personal rune or mark on object or creature. Must be smaller than 1 sq ft.",,
Detect Magic,0,Conc->1min/lvl,Div,,,"V, S (60ft cone) Detect magical auras 1st rnd presence or absence 2nd rnd number and power of most powerful ",,
Light,0,10 min/lvl,Evoc,None,,"V, M (Touch) This spell causes an object to glow like a torch. 20Ft Bright + 20 ft Dim Light",,
Mage Hand,0,Conc,Trans,None,,"V, S (25ft +5ft/2lvls) 5lb telekinesis, 15ft as move action",,
Message,0,10 min/lvl,Trans,None,,"V, S, F (100ft +10ft/lvl) One creature/lvl hears what you whisper",,
Open/Close,0,Inst,Trans,Yes,15,"V, S, F (25ft + 5ft/2 lvl) Open or close one object weighing 30lbs or less",,
Prestidigitation,0,1 hour,Univ,None,,"V, S (10ft) Slowly lift 1lb, create small crude fragile object, chill, warm or flavor 1 lb non living material, color, clean, soil 1ft cube, only cleaning/soiling persist.",,
Read Magic,0,10 min/lvl,Div,,,"V, S, F Read magical writing automatically. Identify glyph of warding DC 13 Spellcraft, Greater glyph of warding dc 16, symbol spell dc10+SL",,
Resistance,0,1 min,Abj,,,"V, S, M +1 resistance bonus on saves",,
Color Spray,1,Inst,Illu,Will,17,"V, S, M (15ft Cone) 2HD or less Unconscious, Blinded, and Stunned for 2d4 rounds, then Blinded and Stunned for 1d4 rounds, then Stunned for 1 round",,
Enlarge Person,1,1 min/lvl,Trans,Fort,17,"V, S, M (25ft +5ft/2lvls) Humanoid gains one size category, +2 str, -2 dex, -1 attk, -1AC 10ft reach Weapon Dam +1 size Cat.",,
Expeditious Retreat,1,1 min/lvl,Trans,None,,"V, S (Personal) +30 movement",,
Magic Missile,1,Inst,Evoc,None,,"V, S (100 + 10ft/lvl) 5 missiles of force deals 1d4+1 damage. Missiles can target different creatures. 5d4+5 total damage.",,
Unseen Servant,1,1 hour/lvl,Conj,None,,"V, S, M (25ft +5ft/2lvls) invisible, mindless, shapeless force that performs simple commands. 20 lbs of force/weight. dissipates after 6hp of area damage.",,
Glitterdust,2,1 rd/lvl,Conj,Will,,"V, S, M (100ft + 10ft/lvl) 10ft Radius spread. Blinded on Failed will save. Cannot become invisible, -40 on hide checks",,
Mirror Image,2,1 min/lvl,Illu,None,,"V, S (Personal) 1d4+5 illusory copies. Image's AC is 10+SIZE+DEX and dissipates when struck. Each image must be within 5 feet of another or caster.",,
Pyrotechnics,2,1d4+1 rds,Trans,Will or Fort,18,"V, S, M (400ft + 40ft/lvl) Fireworks blinds within 120 ft of fire Will save. Smoke cloud 20ft radius cloud -4 str -4 dex Fort negates for duration after leaving cloud. Blind in cloud",,
Scorching Ray,2,Inst,Evoc,None,,"V, S (25 ft + 5ft/2lvls) Ranged Touch attack 4d6 Fire damage. 3 rays may target different creatures w/i 30ft of each other.",,
See Invisible,2,,,,,,,
Haste,3,,,,,,,
Invisibility Sphere,3,1 min/lvl,Illu,Will (Harmless),,"V, S, M (10ft-radius emanation around creature or object touched) Affects all within the sphere, who can see each other.",,
Lightning Bolt,3,Inst,Evoc,Reflex,19,"V, S (120ft line) deals lvl/d6 damage save for half. Can break objects, set fires and melt metals w. low melting point.",,
Phantom Steed,3,1 hr/lvl,Conj,None,,"V, S (0 ft.) Conjures one quasi-real, horselike creature speed 20ft/CL bears rider + 10lbs/CL",,
Black Tentacles,4,1 rd/lvl,Conj,None,,"V, S, M (100ft + 10ft/lvl) 20-ft.-radius spread of tentacles grapples every creature. Grapple check caster level +8. The tentacles are immune to damage. Grapple when entered or on caster's turn 1d6+4 bludgeoning. Half speed in area",,
"Invisibility, Greater",4,1 rd/lvl,Illu,Will,,"V, S (Touch) This spell functions like invisibility, except that it doesn’t end if the subject attacks.
",,
Rainbow Pattern,4,,,,,,,
Prying Eyes,5,,,,,,,
Teleport,5,Inst,Conj,None,,V (Touch) Teleport 1 Med Creature/3 CL-100 Mi/CL ,,
,Familiarity ,,On Target ,Off Target ,Similar Area ,Mishap,,
,Very familiar ,,01-97 ,98-99 ,100,—,,
,Studied carefully ,,01-94 ,95-97 ,98-99 ,100,,
,Seen casually ,,01-88 ,89-94 ,95-98 ,99-100,,
,Viewed once ,,01-76 ,77-88 ,89-96 ,97-100,,
,False destination (1d20+80) ,,— ,— ,81-92 ,93-100,,
Disintegrate,6,,,,,,,
,4,,,,,,,
,5,,,,,,,
,6,,,,,,,
