,[JASON] – Tallinn,,,,,,,,,,,,,,,,,,
Name,Tallinn,,,,,,Skills,,,,,,,,,,,,
Race,Human,,,,,,,Total,ACP,Skill,Bonus,Abil,,,D,,D,,
Alignment,NG,,65 HP,,,,Appraise,2,,0,,2,U,Int,1,,0,,
Size,M,,,,,,Balance,0,-3,0,0,0,U,Dex,1,,0,,
Sex,M,,,,,,Bluff,1,,0,,1,U,Cha,1,,0,,
Age,62,,,,,,Climb,-1,-4,0,,-1,U,Str,1,,0,,
Height,"5' 6""",,,,,,Concentration,0,,0,,0,U,Con,2,,0,,
Weight,155 lbs.,,,,,,Craft (),2,,0,,2,U,Int,2,,0,,
Eyes,Blue,,,,,,Decipher Script,2,,0,,2,T,Int,1,,0,,
Hair,White/bald,,,,,,Diplomacy,15,,14,0,1,U,Cha,2,,14,,==============
Complexion,Weathered,,,,,,Disable Device,2,,0,,2,T,Int,1,,0,,
Build,Thin,,,,,,Disguise,1,,0,,1,U,Cha,1,,0,,
,,,Nonlethal:,,,,Escape Artist,0,-3,0,,0,U,Dex,1,,0,,
HD,12d8 0,,,,,,Forgery,2,,0,,2,U,Int,1,,0,,
HP,65,65,Mods,28,pb,mod,Gather Information,1,,0,0,1,U,Cha,1,,0,,
Str,8,,-1,,8,,Handle Animal,15,,14,,1,T,Cha,2,,14,,==============
Dex,10,,0,,10,,Heal,10,,5,,5,U,Wis,2,,5,,=====
Con,10,,0,,10,,Hide,0,-3,0,,0,U,Dex,1,,0,,
Int,15,,2,,15,,Intimidate,1,,0,0,1,U,Cha,1,,0,,
Wis,20,,5,,20,,Jump,-1,-4,0,0,-1,U,Str,1,,0,,
Cha,13,,1,,13,,Knowledge (arcana),5,,3,,2,T,Int,1,,6,,===
Saves,,,Pack,25.5,,,Knowledge (arch & eng),2,,0,,2,T,Int,1,,0,,
,,,Equipped,17,,,Knowledge (dungeon),2,,0,,2,T,Int,1,,0,,
Fort,8,,Total,42.5,,,Knowledge (geography),2,,0,,2,T,Int,1,,0,,
Ref,4,,Drag,1500,,,Knowledge (history),2,,0,,2,T,Int,1,,0,,
Will,13,,Lift,600,,,Knowledge (local),2,,0,,2,T,Int,1,,0,,
Speed,30,,Max Load,300,,,Knowledge (nature),20,,14,4,2,T,Int,2,,14,,==============
