,,[MIKE] - Illigrim,,,,,,"2026-01-26
Stag was definitely not cheating",
,,,,,,Equipped,,35.1,80.86
,,Inventory,,,,Pack,,45.76,
,,,,Half,0,Horse,,45,
,,,,Coin,853.55,,,,
,,,,Value,97755.16,,125.86,45.76,45
Type,Loc,Item,Cost,Qty,Total Cost,Weight,Total Weight,Pack,Horse
*coin,p,Platinum Coins,10,85,850,0.02,1.7,1.7,
*coin,p,Gold Coins,1,3,3,0.02,0.06,0.06,
*coin,p,Silver Coins,0.1,5,0.5,0.02,0.1,0.1,
*coin,p,Copper Coins,0.01,5,0.05,0.02,0.1,0.1,
,q,Bedroll,0.1,1,0.1,5,5,,5
,q,"Clothes, Spare Set, Explorers",10,1,10,8,8,,8
,q,"Waterskin, 1 day",1,4,4,4,16,,16
,q,"Silk Rope, 50 ft.",10,2,20,5,10,,10
,q,Heavy Warhorse,400,1,400,0,0,,0
,q,Military Saddle,20,1,20,4,4,,4
,p,"Waterskin, 1 day",1,1,1,4,4,4,
,p,Towel,0.4,1,0.4,2,2,2,
,p,"Silk Rope, 50 ft.",10,2,20,5,10,10,
,p,"Rations, Trail, 5 days",0.5,9,4.5,1,9,9,
,p,Backpack,2,1,2,2,2,2,
,,Flint and Steel,1,1,1,0.1,0.1,,
,p,"Chalk, Piece",0.01,1,0.01,0.1,0.1,0.1,
,p,"Twine, 50 ft.",1,1,1,0.5,0.5,0.5,
,,Everburning Torch (green),110,1,110,1,1,,
,,Fish Hook,0.1,2,0.2,0.1,0.2,,
,p,Grappling Hook,1,1,1,4,4,4,
,p,Ink Pen,0.1,1,0.1,0.1,0.1,0.1,
,p,Ink Vial,8,1,8,0.1,0.1,0.1,
,,"Lantern, Bullseye",12,1,12,3,3,,
,,Oil Pint,0.1,3,0.3,1,3,,
,p,,,,0,1,0,0,
,,Silver Ring w. Moonstones (???),150,1,150,0.1,0.1,,
,,"Feather Token, anchor",50,1,50,0.1,0.1,,
,p,"Dose, Belladonna",150,4,600,0.1,0.4,0.4,
,p,"Dose, Knockout",75,2,150,0.1,0.2,0.2,
,,"Flask, Acid",10,1,10,1,1,,
