,[MIKE] – Illigrim,,,,,,,,,,,,,"2026-01-26
Stag was definitely not cheating",,,,
Name,Illigrim,,,,,,Skills,E/H/R,,,,,,,,,,
Race,Elven,,,,,,,Total,ACP,Skill,Bonus,Abil,,,R,Wr,,R
Alignment,CG,,67 E HP,,,,Appraise,4,,1,,3,U,Int,2,,,1
Size,M,,78 H/R HP,,,,Balance,11/14/14,9/12/12,3,2,6,U,Dex,2,,,3
Sex,M,,<special damage: 8 >,,,,Bluff,13,,12,,1,U,Cha,2,,,12
Age,127,,,,,,Climb,8/21/21,6/19/19,4,,4,U,Str,2,2,,4
Height,,,,,,,Concentration,2/3/3,,0,,2,U,Con,1,,,0
Weight,,,,,,,Craft (),3,,0,,3,U,Int,2,,,0
Eyes,,,,,,,Decipher Script (+2 scrolls),3,,0,,3,T,Int,2,,,0
Hair,,,,,,,Diplomacy,3,,0,2,1,U,Cha,2,,,0
Complexion,,,,,,,Disable Device,16,,13,,3,T,Int,2,,,13
Build,,,,,,,Disguise (+2 act in character),3,,2,,1,U,Cha,2,,,2
,,,Nonlethal:,,,,Escape Artist,18/21/21,16/19/19,12,,6,U,Dex,2,,,12
HD,10d6 + 1d8 + 22,,,,/42,,Forgery,3,,0,,3,U,Int,2,,,0
HP,67,45,Mods,63,pb,mod,Gather Information,3,,2,0,1,U,Cha,2,,,2
Str,18,18,4,4,18,6,Handle Animal,1,,0,,1,T,Cha,1,,,0
Dex,23,29,6,9,23,4,Heal,4,,0,2,2,U,Wis,1,,,0
Con,14,16,2,3,14,2,Hide,19/22/26,,11,2,6,U,Dex,2,2,,11
Int,16,16,3,3,16,2,Intimidate,3,,0,2,1,U,Cha,2,,,0
Wis,14,14,2,2,14,,Jump,9,7,3,2,4,U,Str,2,,,3
Cha,12,12,1,1,12,,Knowledge (arcana),3,,0,,3,T,Int,1,,,0
Saves,,,,Pack,45.76,,Knowledge (arch & eng),3,,0,,3,T,Int,1,,,0
,E,R/H,,Equipped,35.1,,Knowledge (dungeon),3,,0,,3,T,Int,1,,,0
Fort,10,11,3,Total,80.86,,Knowledge (geography),3,,0,,3,T,Int,1,,,0
Ref,18,21,3,Drag,1500,,Knowledge (history),3,,0,,3,T,Int,1,,,0
Will,12,12,5,Lift,600,,Knowledge (local),3,,0,,3,T,Int,2,,,0
Speed,30,(40 as Dire Rat),,Max Load,300,,Knowledge (nature),3,,0,,3,T,Int,1,,,0
Melee,11,,,Medium,200,,Knowledge (nob & roy),3,,0,,3,T,Int,1,,,0
Ranged,13,16,,Light,100,,Knowledge (religion),3,,0,,3,T,Int,1,,,0
Grapple,11,,,Value,97755.16,,Knowledge (planes),3,,0,,3,T,Int,1,,,0
Initiative,6,9,0,Money,853.55,Gp,Listen,15,,9,4,2,U,Wis,2,2,,9
BAB +7/+2,7,1,,,83067,XP,Move Silently,18/21/21,16/19/19,10,2,6,U,Dex,2,2,,10
HD,11,Att,skill,plus,148,HD,Open Lock,18/21/21,,12,,6,T,Dex,2,,,12
Rogue,10,0.75,11,3,143,6,Perform (),1,,0,,1,U,Cha,2,,,0
Were-Rat,1,0.75,5,0,5,8,Profession,2,,0,,2,T,Wis,2,,,0
Level Adjust,2,0,0,0,0,0,Ride,6/9/9,,0,,6,U,Dex,1,,,0
ECL,13,,,,,,Search,15,,10,2,3,U,Int,2,,,10
10+8(armor)+0(shield)+1(deflection)+2(natural)+6(DEX),,,,,,,Sense Motive,2,,0,,2,U,Wis,2,,,0
ACP,2,E,H,R,,,Sleight of Hand,16/19/19,14/17/17,8,2,6,T,Dex,2,,,8
Armor,8,27,31,24,Max,AC,Speak Language,0,,0,,,T,None,1,,,0
Deflection Ring,1,17,20,21,Touch,,Spellcraft,3,,0,0,3,T,Int,1,,,0
Natural Armor,2,21,22,15,Unaware,,Spot,17,,11,4,2,U,Wis,2,2,,11
Dex,6,DR 10/Silver,,,,,Survival (+2 tracking),2,,0,,2,U,Wis,1,,,0
Hvy Steel Shield,0,,,,,,Swim,4/9/17,0/5/13,0,,4,U,Str,2,2,,0
,,,,,,,Tumble,18/21/21,16/19/19,12,0,6,T,Dex,2,,,12
Languages,Common,,,,,,Use M D,19,,13,5,1,T,Cha,2,,,13
,Elven,,,,,,Use Rope (+2 binding),6/9/9,,0,,6,U,Dex,2,,,0
,Draconic,,,,,,,,,,,,,148,/148,,,148
,Goblin,,,,,,Attacks,,,,,,,,,,,
,Orc,,,,,,,D.B.,A.B.,E,H,R,Die,Dam,,Crit,,Range
Racial,+2 vs. Enchantment,,,,,,,,,,,,,,,,,
,Immune to Sleep,,,,,,,,,,,,,,,,,
,Low-light Vision,,,,,,"Rapier, +1 Ghost Touch",5,1,14,17,,1d6,1d6+5,,18-20 x2,,
,Auto-search w/i 5’,,,,,,Sap,4,0,13,16,,1d6,1d6+4 NL,,x2,,
,"+2 to Search, Spot, Listen",,,,,,"Crossbow, Light",0,0,13,16,,1d8,1d8,,19-20 x2,,80ft/800ft
Proficient,Simple Weapons,,,,,,"Dagger, punching",4,0,13,16,,1d4,1d4+4,,x3,,
,"Bows, hand crossbow",,,,,,Javelins,4,0,13,16,,1d6,1d6+4,,x2,,30ft/150ft
,"Short sword, long sword, rapier, sap",,,,,,C Long Bow MW +4 Mighty,4,1,14,17,,1d8,1d8+4,,x3,,110ft/1100ft
,Light Armor,,,,,,Claw,2,0,,16,,1d4,1d4+2,*,x2,,
Feats,Dodge,,,,,,Bite (Hybrid Form),2,0,,16,,1d6,1d6+2,,x2,,
3,Mobility (+4 AC on AoOs),,,,,,Bite (Rat Form),6,0,,,17,1d4,1d4+6,,x2,,
6,Combat Expertise,,,,,,"Full Attack Hybrid (R+16,R+11,Bite+13,Claw+13)",,,,,,,,,,,
9,Multiattack(secondary attacks at -2),,,,,,-2 to attack roll for every range increment the target is away.,,,,,,,,*+4 if attack is primary,,,
Class Abil,Sneak Attack (+5d6),,,,,,Grimshank the Mule,HP,23,AC,13,Touch,10,,,,,
,Trap-finding,,,,,,,Light Load,,228,459,690,,Drag,3450,,,
,Trap-sense (+3 on saves vs. traps),,,,,,Scent (Det. Pres. 30' or 60' DW Pinpoint 5'),,,,,,,,,,,
,Evasion,,,,,,Alternate Form (Su),,,,,,,,,,,
,Uncanny Dodge,,,,,,Damage Reduction 10/Silver,,,,,,,,,,,
,Improved Uncanny Dodge,,,,,,Lycanthropic Empathy (Communicate & +4 on checks vs rats),,,,,,,,,,,
,Improved Evasion,,,,,,Low-light Vision,,,,,,,,,,,
Were-Rat,(Iron Will),,,,,,Disease: Filth Fever,,,,,,,,,,,
,(Alertness),,,,,,"+8 Climb when Hybrid or Dire Rate, use Dex for Climb or Swim",,,,,,,,,,,
,(Weapon Finesse),,,,,,+8 Swim when Dire Rat,,,,,,,,,,,
