,[RYAN] – Landorf,,,,,,,,,,,,,"2026-01-26
Stag was definitely not cheating",,,,,
Name,Landorf,,,,,,Skills,,,,,,,,,,,,
Race,Human,,,,,,,Total,ACP,Skill,Bonus,Abil,,,F,,F,,
Alignment,LN,,110 HP,,,,Appraise,0,,0,,0,U,Int,1,,0,,
Size,M,,,,,,Balance,3,-1,0,2,1,U,Dex,1,,0,,
Sex,M,,,,,,Bluff,-1,,0,,-1,U,Cha,1,,0,,
Age,25 years,,,,,,Climb,19,15,13,,6,U,Str,2,,13,,=============
Height,"6' 0""",,,,,,Concentration,2,,0,,2,U,Con,1,,0,,
Weight,200 lbs.,,,,,,Craft (),0,,0,,0,U,Int,2,,0,,
Eyes,Jade,,,,,,Decipher Script,0,,0,,0,T,Int,1,,0,,
Hair,Dark,,,,,,Diplomacy,-1,,0,0,-1,U,Cha,1,,0,,
Complexion,Fair,,,,,,Disable Device,0,,0,,0,T,Int,1,,0,,
Build,Ripped,,,,,,Disguise,-1,,0,,-1,U,Cha,1,,0,,
,,,Nonlethal:,,,,Escape Artist,1,-3,0,,1,U,Dex,1,,0,,
HD,13d10 + 26,,,,/42,,Forgery,0,,0,,0,U,Int,1,,0,,
HP,110,84,Mods,30,pb,mod,Gather Information,-1,,0,0,-1,U,Cha,1,,0,,
Str,22,,6,4,18,6,Handle Animal,-1,,0,,-1,T,Cha,2,,0,,
Dex,12,,1,,12,,Heal,1,,0,2,-1,U,Wis,1,,0,,
Con,14,,2,,14,,Hide,1,-3,0,,1,U,Dex,1,,0,,
Int,10,,0,,10,,Intimidate,4,,5,0,-1,U,Cha,2,,5,,=====
Wis,9,,-1,,9,,Jump,16,12,12,-2,6,U,Str,2,,12,,============
Cha,9,,-1,,9,,Knowledge (arcana),0,,0,,0,T,Int,1,,0,,
Saves,,,Pack,56.96,,,Knowledge (arch & eng),0,,0,,0,T,Int,1,,0,,
,,,Equipped,72.2,,,Knowledge (dungeon),0,,0,,0,T,Int,1,,0,,
Fort,11,1,Total,129.16,,,Knowledge (geography),0,,0,,0,T,Int,1,,0,,
Ref,6,1,Drag,2600,,,Knowledge (history),0,,0,,0,T,Int,1,,0,,
Will,4,1,Lift,1040,,,Knowledge (local),0,,0,,0,T,Int,1,,0,,
Speed,20,,Max Load,520,,,Knowledge (nature),0,,0,,0,T,Int,1,,0,,
Melee,19,,Medium,346,,,Knowledge (nob & roy),0,,0,,0,T,Int,1,,0,,
Ranged,14,,Light,173,,,Knowledge (religion),0,,0,,0,T,Int,1,,0,,
Grapple,19,,Value,73048.47,,,Knowledge (planes),0,,0,,0,T,Int,1,,0,,
Initiative,5,4,Money,3838.2,Gp,,Listen,1,,1.5,,-1,U,Wis,1,,3,,=
BAB +13/+8/+3,13,,,80516,XP,,Move Silently,1,-3,0,,1,U,Dex,1,,0,,
HD,13,Att,skill,plus,48,HD,Open Lock,1,,0,,1,T,Dex,1,,0,,
Fighter,13,1,3,3,48,10,Perform (),-1,,0,,-1,U,Cha,1,,0,,
,0,0,0,0,0,0,Profession,-1,,0,,-1,T,Wis,1,,0,,
,,,,,,,Ride,1,,0,,1,U,Dex,1,,0,,
,,,,,,,Search,0,,0,,0,U,Int,1,,0,,
10+9(armor)+4(shield)+0(deflection)+0(natural)+1(DEX),,,,,,,Sense Motive,-1,,0,,-1,U,Wis,2,,0,,
ACP,-4,,,,,,Sleight of Hand,1,-3,0,0,1,T,Dex,1,,0,,
Armor,9,24,Max,AC,,,Speak Language,0,,0,,,T,None,1,,0,,
Deflection Ring,0,15,Touch,,,,Spellcraft,0,,0,0,0,T,Int,1,,0,,
Natural Amulet,0,23,Unaware,,,,Spot,0.5,,1.5,,-1,U,Wis,1,,3,,=
Dex,1,20,Max,"AC
no shield",,,Survival,-1,,0,,-1,U,Wis,1,,0,,
Hvy Steel Shield,4,11,Touch,,,,Swim,6,-2,0,,6,U,Str,2,,0,,
,,19,Unaware,,,,Tumble,11,7,6,4,1,T,Dex,1,,12,,======
Languages,Common,,,,,,Use M D,-1,,0,,-1,T,Cha,1,,0,,
Racial,+1 Skill per level,,,,,,Use Rope,1,,0,,1,U,Dex,1,,0,,
,+1 Feat,,,,,,,,,,,,,,,48,/48,,0
Proficient,Simple Weapons,,,,,,Attacks,,,,,,,,,,,,
,Martial Weapons,,,,,,,D.B.,A.B.,Attk,Die,Dam,,Crit,,Range,,,
,All Armor,,,,,,"+3 Frost Brand GS, 2-Hand",12,3,22/17/12,2d6,2d6+12 +1d6 cold,,19-20 x2,,,,,
,All Shield (including tower),,,,,,Full Power 2-hand,38,-10,9/4/-1,2d6,2d6+38 +1d6 cold,,19-20 x2,,,,,
Feats,"Acrobatic (+2 Jump, Tumble)",,,,,,Full Power Leap Attack,51,-10,9,2d6,2d6+51 +1d6 cold,,19-20 x2,,,,,
human,Improved Initiative,,,,,,Bastard Sword +1 Keen PB,9,2,21/16/11,1d10,1d10+9,,15-20 x2,,,,,
F1,Exotic Weap. Prof. (Bastard Sword),,,,,,Full Power 1-hand,22,-11,8/3/-2,1d10,1d10+22,,15-20 x2,,,,,
F2,Power Attack (Att => Dam),,,,,,Full Power 2-hand,35,-11,8/3/-2,1d10,1d10+35,,15-20 x2,,,,,
3,Cleave,,,,,,C Long Bow MW +4 Mighty,4,1,15/10/5,1d8,1d8+4,,x3,,110ft/1100ft,,,
F4,Great Cleave,,,,,,"Dagger, stab",6,0,19/14/9,1d4,1d4+6,,19-20 x2,,,,,
6,Weapon Focus B. Sword (+1 Att),,,,,,"Dagger, throw",6,0,14/9/4,1d4,1d4+6,,19-20 x2,,(10ft/50ft),,,
F6,Weapon Specialization B. Sword (+2 damage),,,,,,Lion Shield 3/Day,,,13/8/3,2d6,2d6,,20 x2,,,,,
F8,,,,,,,1,Red,20 points fire damage (Reflex half),,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
F10,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,
F12,,,,,,,,,,,,,,,,,,,
F8,Leap Attack x2 PA dmg on Charge DC 10 Jump,,,,,,,,,,,,,,,,,,
9,Shield Parry (Shield Bonus to touch AC),,,,,,Prismatic Burst on Crit,Red,20 points acid damage (Reflex half),,,,,,,,,,
F10,Power Critical (+4 to confirm crits),,,,,,2,Orange,40 points acid damage (Reflex half),,,,,,,,,,
12,Improved Grapple,,,,,,3,Yellow,80 points electricity damage (Reflex half),,,,,,,,,,
F12,Improved Critical B. Sword,,,,,,4,Green,Poison (Kills; Fortitude partial: 1d6 points of Con damage instead),,,,,,,,,,
,,,,,,,5,Blue,Turned to stone (Fortitude negates),,,,,,,,,,
,,,,,,,6,Indigo,"Insane, as insanity spell (Will negates)",,,,,,,,,,
,,,,,,,7,Violet,Sent to another plane (Will negates),,,,,,,,,,
,,,,,,,8,,"Struck by two rays; roll twice more, ignoring any “8” results.",,,,,,,,,,
