Player,Mike,Andy,Ryan,Hibl,Ben,Don,Chuck,Jason,,,Bill,,,,,,,,,,,,,,
"2026-01-26
Stag was definitely not cheating",,,,,,,,,,,,,,,,,,,,,,,,,
Character,Illigrim,Black Stag,Landorf,"""Burley"" Darkburle Blue",Brother Surefoot (Hambone),Cade,Phileum Collins,Tallinn,,,,B2,,,,,,,,,,,,,
Race,Elven,Orc,Human,Elven,Human,Gnome,Human,Human,,,,B3,,,,,,,,,,Illigrim,Elven,Rogue,CG
Class,Rogue,Ranger,Fighter,Sorcerer,Monk,Wizard,Cleric,Druid,,,,A35,,,,,,,,,,Black Stag,Orc,Ranger,CG
Alignment,CG,CG,LN,CN,LN,CE,LG,NG,,,,B4,,,,,,,,,,Landorf,Human,Fighter,LN
,,,,,,,,,,,,,,,,,,,,,,"""Burley"" Darkburle Blue",Elven,Sorcerer,CN
Init,6,6,5,8,4,6,-1,0,,,,B32,,,,,,,,,,Brother Surefoot (Hambone),Human,Monk,LN
Speed,30,30,20,30,60,20,20,30,,,,B28,,,,,,,,,,Cade,Gnome,Wizard,CE
HP,67,89,110,51,69,43,90,65,,,,B16,,,,,,,,,,Phileum Collins,Human,Cleric,LG
,,,,,,,,,,,,,,,,,,,,,,Tallinn,Human,Druid,NG
AC,27,17,24,24,21,14,19,16,,,,C41,,,,,,,,,,,,,
Touch,17,23,15,16,19,14,10,10,,,,C42,,,,,,,,,,,,,
Unaware,21,,23,20,17,12,19,16,,,,C43,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
FORT,10,14,11,8,10,7,8,8,,,,B25,,,,,,,,,,,,,
REF,18,21,6,12,16,8,2,4,,,,B26,,,,,,,,,,,,,
WILL,12,10,4,11,14,11,10,13,,,,B27,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Spot,17,15,0.5,1,16,3,4,12,,,,I43,,,,,,,,,,,,,
Listen,15,12,1,1,8,3,4,10,,,,I32,,,,,,,,,,,,,
Search,15,1,0,2,2,7,0,2,,,,I38,,,,,,,,,,,,,
Sense Motive,2,4,-1,-1,4,1,4,5,,,,I39,,,,,,,,,,,,,
Gather Info,3,0,-1,6,2,-2,1,1,,,,I16,,,,,,,,,,,,,
Appraise,4,1,0,0,2,5,0,2,,,,I4,,,,,,,,,,,,,
Forgery,3,1,0,0,2,5,0,2,,,,I15,,,,,,,,,,,,,
Bluff,13,2,-1,8,3,-2,1,1,,,,I6,,,,,,,,,,,,,
Diplomacy,3,2,-1,6,4,-2,6,15,,,,I11,,,,,,,,,,,,,
Hide,19/22/26,9,1,4,11,2,-1,0,,,,I19,,,,,,,,,,,,,
Move Silent,18/21/21,12,1,4,7,2,-1,0,,,,I33,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
STR,18,20,22,7,14,10,7,8,,,,B17,,,,,,,,,,,,,
DEX,23,22,12,18,18,15,8,10,,,,B18,,,,,,,,,,,,,
CON,14,15,14,10,17,12,14,10,,,,B19,,,Mike,Andy,Ryan,Hibl,Ben,Don,Chuck,Jason,,,
INT,16,12,10,10,15,20,10,15,,,,B20,,,3,1,0,0,2.5,5,0,2.5,Int bonus,,
WIS,14,18,9,8,18,13,18,20,,,,B21,,,13,--,--,--,18,11,--,12,secret roll during combat,,
CHA,12,11,9,22,12,6,12,13,,,,B22,,,,,,,,,,,x,,
,,,,,,,,,,,,,,,19,2,--,--,9,19,--,--,split party rolls,,
XP,83067,81284,80516,79305,41112,68992,0,68992,,,,E33,F33,,,,,,,,,,,,
HD,11,13,13,13,9,12,12,12,,,,B34,,,,,,,,,,,,,
Value,97755.16,125103.77,73048.47,112239.72,23169.05,91500,78000,17.2,,,,E31,F31,,,,,,,,,,,,
