Location,Total Weight,Ulth Offer,Total Value,Quantity,Item,aura,Category,Source,Appraise DC,Appraised Value,Die Roll,Ulthirmbor Multiplier,Value,Market,Weight,Party,M,Sale Value Per.,Estimated Value,Qty.,PC desc.,Total Weight.,Serial.,Source.,Location.,U,V,W
Already sold or on PC sheet,,0,100,4,Tanglefoot bag,,,,,1,,,25,50,,?,,25,,4,Tanglefoot bag,,1001,,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,2000,1,Platinum jewel case w/ gem that matches amulet from mind flayer,,,mind flayer,,,,,2000,4000,,?,,2000,,1,Platinum jewel case w/ gem that matches amulet from mind flayer,,1002,mind flayer,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,40,1,"velvet hooded cloak, embroidered",,,mind flayer,,,,,40,80,,?,,40,,1,"velvet hooded cloak, embroidered",,1003,mind flayer,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,4600,1,amulet w/ gem: planar beacon,,,mind flayer,,,,,4600,9200,,?,,4600,,1,amulet w/ gem: planar beacon,,1004,mind flayer,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,3462.5,1,"high-quality studded leather, endure elements, +1 slick",,,mind flayer,,,,,3462.5,6925,,?,,3462.5,,1,"high-quality studded leather, endure elements, +1 slick",,1005,mind flayer,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,2175,1,"+2 large chain shirt, high-quality, magic",,,ogre mage,,,,,2175,4350,,?,,2175,,1,"+2 large chain shirt, high-quality, magic",,1006,ogre mage,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,200,1,large mighty (+3) composite longbow,,,ogre mage,,,,,200,400,,?,,200,,1,large mighty (+3) composite longbow,,1007,ogre mage,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,0,1,large greatsword,,,ogre mage,,,,,0,,,?,,0,,1,large greatsword,,1008,ogre mage,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,8,16,"large arrows, 16",,,ogre mage,,,,,0.5,1,,?,,0.5,,16,"large arrows, 16",,1009,ogre mage,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,5000,20,"ornate gold bracelets, 20 (worth 5000gp)",,,ogre mage,,,,,250,,,?,,250,,20,"ornate gold bracelets, 20 (worth 5000gp)",,1010,ogre mage,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,4157.5,1,+1 shocking heavy flail,,,goat man,,,,,4157.5,8315,,?,,4157.5,,1,+1 shocking heavy flail,,1011,goat man,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,17.5,1,light crossbow,,,goat man,,,,,17.5,35,,?,,17.5,,1,light crossbow,,1012,goat man,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,1,20,bolts,,,goat man,,,,,0.05,0.1,,?,,0.05,,20,bolts,,1013,goat man,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,412.5,5,masterwork bucklers,,,,,,,,82.5,165,,?,,82.5,,5,masterwork bucklers,,1014,,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,350,4,mw studded leather,,,,,,,,87.5,175,,?,,87.5,,4,mw studded leather,,1015,,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,3625,29,"bag of silver pearls, 29",,,nerullian,,,,,125,,,?,,125,,29,"bag of silver pearls, 29",,1016,nerullian,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,10,40,"darts, 40",,,nerullian,,,,,0.25,0.5,,?,,0.25,,40,"darts, 40",,1017,nerullian,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,0,,?strange object from black stag's list? klein bottle mace summon focus?,,,the blessed,,,,,1000,2000,,?,,1000,,,?strange object from black stag's list? klein bottle mace summon focus?,,1018,the blessed,Already sold or on PC sheet,,,
Black Stag,,0,0,1,book in undercommon; stories collected by an underground civilization of victims whose brains were removed from their bodies ,,equipment,the blessed,,,,1,0,,,player,,0,,1,book in undercommon; stories collected by an underground civilization of victims whose brains were removed from their bodies ,,1019,the blessed,Black Stag,,,
Black Staff,,0,0,1,"book in undercommon; apparently by the same author, makes almost no sense, seems to be a travelog through a dream/nightmare",,equipment,the blessed,,,,1,0,,,player,,0,,1,"book in undercommon; apparently by the same author, makes almost no sense, seems to be a travelog through a dream/nightmare",,1020,the blessed,Black Staff,,,
Already sold or on PC sheet,,0,200,2,"silver & amethyst brooches, symbols for favor from Lady Eriana",,,lady eriana,,,,,100,,,?,,100,,2,"silver & amethyst brooches, symbols for favor from Lady Eriana",,1021,lady eriana,Already sold or on PC sheet,,,
Sold,,0,4153,1,+1 manbane sickle,,,assassins,,,,,4153,8306,,--,,4153,,1,+1 manbane sickle,,1022,assassins,Sold,,,
Sold,,0,4153,1,+1 vicious sickle,,,assassins,,,,,4153,8306,,--,,4153,,1,+1 vicious sickle,,1023,assassins,Sold,,,
Already sold or on PC sheet,,0,50,2,potions of cure light wounds,,,assassins,,,,,25,50,,?,,25,,2,potions of cure light wounds,,1024,assassins,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,150,1,potion of spider climb,,,assassins,,,,,150,300,,?,,150,,1,potion of spider climb,,1025,assassins,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,1,1,Dagger,,,"dyson, tiefling sorcerer",,,,,1,2,,?,,1,,1,dagger,,1026,"dyson, tiefling sorcerer",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,52.5,1,wand of Tenser’s floating disk (7 charges),,,"dyson, tiefling sorcerer",,,,,52.5,105,,?,,52.5,,1,wand of Tenser’s floating disk (7 charges),,1027,"dyson, tiefling sorcerer",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,25,1,potion of CLW,,,"dyson, tiefling sorcerer",,,,,25,50,,?,,25,,1,potion of CLW,,1028,"dyson, tiefling sorcerer",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,75,1,arcane scroll of see invisibility,,,"dyson, tiefling sorcerer",,,,,75,150,,?,,75,,1,arcane scroll of see invisibility,,1029,"dyson, tiefling sorcerer",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,2000,1,cloak of charisma +2,,,"dyson, tiefling sorcerer",,,,,2000,4000,,?,,2000,,1,cloak of charisma +2,,1030,"dyson, tiefling sorcerer",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,4125,1,wand of nondetection (30 charges),,,"dyson, tiefling sorcerer",,,,,4125,8250,,?,,4125,,1,wand of nondetection (30 charges),,1031,"dyson, tiefling sorcerer",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,50,2,platinum ring worth 50gp (focus for shield other spell),,,"dyson, tiefling sorcerer",,,,,25,50,,?,,25,,1,platinum ring,,1032,"dyson, tiefling sorcerer",Already sold or on PC sheet,,,
,,7000,7000,1,"amazing chest [14,000gp]",strong transmutation and conjuration,equipment,"dyson, tiefling sorcerer",,,,1,7000,14000,,player,,,,1,magic chest,,1033,"dyson, tiefling sorcerer",,,,
,,2.5,2.5,1,key to amazing chest,strong transmutation and conjuration,equipment,"dyson, tiefling sorcerer",,,,1,2.5,5,,player,,,,1,key on chain,,1034,"dyson, tiefling sorcerer",,,,
Already sold or on PC sheet,,0,1125,2,"Four scrolls of Lesser Planar Binding (Wiz5), each protected with Explosive Runes (DC 28 to find via Search; 6d6 force damage if read; Wiz3 Abjuration) [1,125gp]",,,"dyson, tiefling sorcerer",,,,,562.5,1125,,?,,562.5,,2,scrolls of Lesser Planar Binding (Wiz5),,1035,"dyson, tiefling sorcerer",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,2275,2,"Two scrolls of Plane Shift (Wiz7), each protected with Explosive Runes (DC 28 to find via Search; 6d6 force damage if read; Wiz3 Abjuration) [2,275gp]",,,"dyson, tiefling sorcerer",,,,,1137.5,2275,,?,,1137.5,,2,scrolls of Plane Shift (Wiz7),,1036,"dyson, tiefling sorcerer",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,300,3,"Tuning forks for Azzagrat (Abyss 45), the Outlands & the Prime (sell for more once ID'd)",,,"dyson, tiefling sorcerer",,,,,100,200,,?,,100,,3,tuning forks; planar keys (can't ID with Magic; worth more if known destination),,1037,"dyson, tiefling sorcerer",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,3,6,6 Badges with a red six-fingered hand,,,"dyson, tiefling sorcerer",,,,,0.5,1,,?,,0.5,,6,6 Badges with a red six-fingered hand (not magic),,1038,"dyson, tiefling sorcerer",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,2250,1,"Wand of Resist Energy (Wiz2) [4,500gp]",,,"dyson, tiefling sorcerer",,,,,2250,4500,,?,,2250,,1,"Wand of Resist Energy (Wiz2) [4,500gp]",,1039,"dyson, tiefling sorcerer",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,4207.5,1,"undying staff (16 charges; CL 12; animate dead, create undead [2charges], slay living [2charges])",,,"henwen, druid/cleric",,,,,4207.5,8415,,?,,4207.5,,1,"undying staff (16 charges; CL 12; animate dead, create undead [2charges], slay living [2charges])",,1040,"henwen, druid/cleric",Already sold or on PC sheet,,,
Illigrim,,0,100,1,block of incense of obsession,,,"henwen, druid/cleric",,,,,100,200,,?,,100,,1,block of incense of obsession,,1041,"henwen, druid/cleric",Illigrim,,,
Already sold or on PC sheet,,0,0,0,platinum ring worth 50 gp (for shield other spell),,,"henwen, druid/cleric",,,,,25,50,,?,,25,,1,platinum ring,,1042,"henwen, druid/cleric",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,3750,1,lute version of the harp of charming (suggestion spells),,,"cuckoo, vrock bard",,,,,3750,7500,,?,,3750,,1,lute version of the harp of charming (suggestion spells),,1043,"cuckoo, vrock bard",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,3500,1,ring of misdirection,,,"cuckoo, vrock bard",,,,,3500,7000,,?,,3500,,1,ring of misdirection,,1044,"cuckoo, vrock bard",Already sold or on PC sheet,,,
traded to Mercane,,0,75,1,"ritual scar of the blessing of the succubus, which grants the succubus’ Change Shape ability",,,"cuckoo, vrock bard",,,,,75,150,,?,,75,,1,scar on the skin of the demon (not magic; possibly worth more to a collector or scholar),,1045,"cuckoo, vrock bard",traded to Mercane,,,
destroyed,,0,15000,1,special flower; edible petals,,,dyson's tower,,,,,15000,30000,,?,,15000,,1,"special flower; edible petals, (did not use magic to ID)",,1046,dyson's tower,destroyed,,,
Already sold or on PC sheet,,0,300,2,"spellbooks (no spells, written in, interesting research)",,,dyson's tower,,,,,150,300,,?,,150,,2,"spellbooks (no spells, written in, interesting research)",,1047,dyson's tower,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,100,1,collection of special inks,,,dyson's tower,,,,,100,200,,?,,100,,1,collection of special inks,,1048,dyson's tower,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,17700,1,"+2 Giant-Bane Great sword, intelligent, INT/WIS 15, CHA 10, EGO 16, Speach, 60 ft. darkvision and hearing, Unseen Servant (1/day), Major Image (1/day), Cure Moderate Wounds 2d8+3 (3/day); speaks Common, Giant, Dwarven, Gnomish, Celestial, Draconic [desc: ornate gold-embellished and bejeweled handle, Strong Conjuration aura; CL 16th]",,,Giants' Lodge,,,,,17700,35400,,?,,,,1,"Great sword, ornate gold-embellished and bejeweled handle, Strong aura.",,1049,Giants' Lodge,Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,1350,1,Melted gold coin pile,,bullion,Giants' Lodge,,,,,1350,1500,,?,,,,30 lbs,Melted gold coin pile,,1050,Giants' Lodge,Already sold or on PC sheet,,,
